-2, 38, 9, 7, 0, -2, -4, -1, 
1, -14, -22, -7, 2, -1, -3, -1, 
-2, 0, -14, 4, -2, -1, -1, -1, 
1, -1, 7, 12, 0, -1, -1, -1, 
5, 37, 26, -7, -1, -1, -1, 1, 
-2, 20, 16, 2, 1, 0, 0, -1, 
-1, 2, 25, 1, -1, 0, -1, -1, 
-2, 1, -1, 0, 0, 0, -1, -5, 
0, -5, -3, 1, 1, 1, -1, 1, 
-2, -2, -6, -19, -2, -1, -1, 0, 
0, 0, 15, 7, 0, -1, -1, 0, 
-1, -1, -10, -2, -1, -1, 0, -1, 
1, 9, -13, -1, -1, 1, 0, 0, 
-1, 0, -10, 0, -2, 0, -1, 0, 
-1, 1, -2, -2, -2, -2, -2, -1, 
0, 1, -16, -2, -1, -1, -1, 0, 
-1, -3, -3, -3, -3, -2, 0, -1, 
-1, -2, -17, -8, -1, -1, -3, -1, 
0, 1, 23, -7, 0, 0, 1, 2, 
0, 24, 6, 11, 3, 20, 20, 19, 
14, -6, -22, -12, -1, 11, -8, -19, 
2, 4, -3, -14, -13, -5, 2, -1, 
