13, 38, 97, 82, -30, 2, 5, 6, 10, 8, 1, [L], r, 13, 38, 97, 82, -30, 2, 5, 6, 10, 8, 1, [L], r, 
-13, -48, -91, -40, -7, -5, 1, -7, 11, 9, 16, [L], r, -13, -48, -91, -40, -7, -5, 1, -7, 11, 9, 16, [L], r, 
-23, 39, 127, 82, 14, -1, 2, 8, 11, 9, 16, [L], r, -23, 39, 127, 82, 14, -1, 2, 8, 11, 9, 16, [L], r, 
-10, -22, -78, -3, -10, -4, -4, -14, 11, 10, 16, [L], r, -10, -22, -78, -3, -10, -4, -4, -14, 11, 10, 16, [L], r, 
10, 72, -128, -128, -36, -16, -15, -42, 11, 10, 16, [L], r, 10, 72, -128, -128, -36, -16, -15, -42, 11, 10, 16, [L], r, 
-14, -7, 10, -29, -21, -7, -6, -7, 11, 10, 16, [L], r, -14, -7, 10, -29, -21, -7, -6, -7, 11, 10, 16, [L], r, 
-8, -9, 1, -5, -7, -62, -15, -65, 11, 10, 16, [L], r, -8, -9, 1, -5, -7, -62, -15, -65, 11, 10, 16, [L], r, 
11, -2, -5, -14, -18, -85, -20, 31, 10, 10, 1, [L], r, 11, -2, -5, -14, -18, -85, -20, 31, 10, 10, 1, [L], r, 
19, 5, 2, 3, -5, -9, -11, 13, 11, 9, 16, [L], r, 19, 5, 2, 3, -5, -9, -11, 13, 11, 9, 16, [L], r, 
2, -1, -12, -14, -10, -22, 1, 32, 11, 9, 16, [L], r, 2, -1, -12, -14, -10, -22, 1, 32, 11, 9, 16, [L], r, 
-5, -2, -48, -5, -10, 100, 35, 13, 11, 8, 16, [L], r, -5, -2, -48, -5, -10, 100, 35, 13, 11, 8, 16, [L], r, 
-6, 15, -79, -101, -7, 36, 7, 0, 11, 8, 16, [L], r, -6, 15, -79, -101, -7, 36, 7, 0, 11, 8, 16, [L], r, 
-64, -90, -65, 48, 24, 60, 3, -3, 10, 11, 1, [L], r, -64, -90, -65, 48, 24, 60, 3, -3, 10, 11, 1, [L], r, 
-3, 2, 4, 13, -10, 3, 0, 2, 10, 11, 1, [L], r, -3, 2, 4, 13, -10, 3, 0, 2, 10, 11, 1, [L], r, 
-3, -7, -8, -5, -17, 0, -3, -4, 10, 11, 1, [L], r, -3, -7, -8, -5, -17, 0, -3, -4, 10, 11, 1, [L], r, 
-12, 10, 10, 6, 5, -11, -47, 2, 10, 10, 1, [L], r, -12, 10, 10, 6, 5, -11, -47, 2, 10, 10, 1, [L], r, 
-48, 34, -52, -10, -15, -7, -39, -3, 11, 8, 16, [L], r, -48, 34, -52, -10, -15, -7, -39, -3, 11, 8, 16, [L], r, 
30, -3, -7, 2, -16, -1, -18, 20, 11, 8, 16, [L], r, 30, -3, -7, 2, -16, -1, -18, 20, 11, 8, 16, [L], r, 
-85, -52, -6, -3, 2, -14, -65, -23, 10, 8, 1, [L], r, -85, -52, -6, -3, 2, -14, -65, -23, 10, 8, 1, [L], r, 
-1, -1, 0, 18, 17, 1, 1, -1, 11, 8, 16, [L], r, -1, -1, 0, 18, 17, 1, 1, -1, 11, 8, 16, [L], r, 
-1, -1, -1, 5, 31, 2, 6, 1, 11, 8, 16, [L], r, -1, -1, -1, 5, 31, 2, 6, 1, 11, 8, 16, [L], r, 
-13, -2, 8, -4, -28, 0, 2, 3, 11, 8, 16, [L], r, -13, -2, 8, -4, -28, 0, 2, 3, 11, 8, 16, [L], r, 
-6, 0, -3, -1, 19, -2, 2, 0, 10, 8, 1, [L], r, -6, 0, -3, -1, 19, -2, 2, 0, 10, 8, 1, [L], r, 
-13, 5, -1, -24, -31, -1, 0, -1, 10, 8, 1, [L], r, -13, 5, -1, -24, -31, -1, 0, -1, 10, 8, 1, [L], r, 
-5, -3, -1, 1, 4, 1, 5, -5, 10, 8, 1, [L], r, -5, -3, -1, 1, 4, 1, 5, -5, 10, 8, 1, [L], r, 
3, 21, 7, 1, 1, -1, 14, 4, 10, 8, 1, [L], r, 3, 21, 7, 1, 1, -1, 14, 4, 10, 8, 1, [L], r, 
-11, -35, -13, -6, 2, -7, -6, 2, 10, 8, 1, [L], r, -11, -35, -13, -6, 2, -7, -6, 2, 10, 8, 1, [L], r, 
42, 0, -4, -2, -1, 0, -15, 0, 10, 8, 1, [L], r, 42, 0, -4, -2, -1, 0, -15, 0, 10, 8, 1, [L], r, 
-42, 32, 2, -4, -14, -4, -12, 4, 11, 8, 16, [L], r, -42, 32, 2, -4, -14, -4, -12, 4, 11, 8, 16, [L], r, 
42, 14, 6, 4, -2, 1, -3, -2, 11, 8, 16, [L], r, 42, 14, 6, 4, -2, 1, -3, -2, 11, 8, 16, [L], r, 
-20, -1, -20, -6, -4, -4, -21, -5, 10, 8, 1, [L], r, -20, -1, -20, -6, -4, -4, -21, -5, 10, 8, 1, [L], r, 
-30, -9, -2, -8, -10, 1, 12, 2, 10, 8, 1, [L], r, -30, -9, -2, -8, -10, 1, 12, 2, 10, 8, 1, [L], r, 
-6, 14, -18, -4, -1, -3, -43, -13, 11, 8, 16, [L], r, -6, 14, -18, -4, -1, -3, -43, -13, 11, 8, 16, [L], r, 
