-5, -12, -15, -9, 2, -2, -1, -3, 9, 14, 1, hello 
-4, -10, 14, -5, 0, -2, -2, 0, 8, 14, 0, hello 
-2, -2, -16, 5, -4, -2, -1, -1, 8, 13, 0, hello 
-7, 2, -17, -1, 3, 1, -1, -2, 7, 12, 17, hello 
12, 53, 1, 15, -8, -1, 2, 4, 7, 12, 17, hello 
-3, 15, 15, 4, 0, -2, 0, 0, 7, 12, 17, hello 
2, -55, -35, -18, -3, -1, -2, -1, 7, 12, 17, hello 
-8, 26, 17, 1, 0, 4, 2, 1, 7, 12, 17, hello 
7, 77, 11, 9, 1, 0, 1, 1, 7, 13, 17, hello 
0, 80, 28, -2, 1, 1, 1, 2, 7, 13, 17, hello 
-8, -23, -25, -4, -1, 0, -2, -1, 7, 13, 17, hello 
-2, -2, -27, -2, -3, -2, -2, -1, 7, 13, 0, hello 
1, -4, 2, 3, 1, 0, 0, -1, 7, 13, 0, hello 
-1, -22, -5, -6, -5, -4, -2, -2, 8, 13, 0, hello 
-4, -44, -3, -9, -3, 0, 0, -3, 8, 13, 0, hello 
1, 12, 32, -5, -2, -2, 0, 0, 8, 13, 0, hello 
-1, 1, 0, 8, 4, 0, -1, 1, 8, 14, 0, hello 
0, -13, -16, -7, 2, 0, 0, -1, 8, 14, 1, hello 
0, 23, 20, 5, 5, 0, -1, 0, 8, 13, 1, hello 
0, 13, -16, 18, 0, 0, -4, -1, 8, 13, 1, hello 
-2, 1, -13, -14, -1, 1, 1, -3, 8, 13, 1, hello 
-3, 2, 0, -5, -4, 3, 2, 1, 8, 13, 1, hello 
2, -5, -27, -20, 0, 0, 0, 0, 8, 12, 1, hello 
0, 8, 1, 6, -4, -5, -1, 0, 8, 12, 1, hello 
-1, -9, 10, 8, 8, 1, -2, -1, 8, 11, 1, hello 
-1, -26, 16, 2, 3, 7, 0, -1, 8, 10, 2, hello 
-1, 2, 14, 4, 1, -5, -3, -3, 7, 10, 2, hello 
0, -4, 3, 7, 0, -1, 0, -1, 7, 9, 2, hello 
1, -3, -1, -8, -3, -2, -1, -1, 7, 9, 2, hello 
0, -1, -5, 0, -7, -2, -1, 0, 7, 9, 2, hello 
-1, -8, -12, -16, 3, -2, -1, -1, 7, 9, 2, hello 
-1, 0, 11, 8, -2, -3, -1, -2, 7, 8, 2, hello 
-1, -16, -22, -12, -1, -1, -2, -2, 7, 8, 2, hello 
-4, -5, 3, -18, 10, 1, -1, 1, 7, 8, 2, hello 
-2, -15, -26, -8, -8, -2, -1, -1, 7, 8, 2, hello 
0, -4, 11, -3, -5, -1, -1, 0, 7, 8, 2, hello 
-3, -9, -6, -36, -4, -2, -4, -1, 6, 8, 2, hello 
0, -3, 18, 4, -2, -1, 1, 1, 6, 8, 2, hello 
-2, -1, -7, 1, -3, -1, 0, -2, 6, 8, 2, hello 
-1, -8, -10, 12, 0, 1, -1, -1, 6, 8, 2, hello 
0, -1, 37, 8, -12, -4, -2, -3, 6, 8, 2, hello 
0, -9, -10, 6, -4, -2, -3, -1, 6, 8, 2, hello 
-2, -8, -1, 17, 13, 3, -1, -1, 6, 8, 2, hello 
-3, -3, -43, -17, -5, -2, 0, -1, 6, 8, 2, hello 
-1, 4, 18, 22, 3, -3, -3, -2, 6, 8, 2, hello 
2, 13, -8, 8, 0, -3, -2, -2, 6, 8, 2, hello 
1, -10, -8, -1, -9, -7, -5, -2, 6, 7, 2, hello 
-5, -2, 18, 8, -7, 0, -2, -2, 6, 7, 2, hello 
-3, -9, -29, -6, 4, 0, -2, -2, 6, 7, 2, hello 
-2, -14, -6, 1, 17, 1, -1, -1, 6, 7, 2, hello 
-1, 7, 3, 11, -7, -5, 0, -1, 6, 7, 2, hello 
0, 8, 4, 8, -3, 2, 1, 1, 6, 7, 2, hello 
-2, 0, 22, 1, -6, -3, -3, -3, 6, 7, 2, hello 
1, -5, 4, 11, -8, -1, -2, -1, 6, 7, 2, hello 
-2, -10, -10, -7, -3, -3, 0, 0, 6, 7, 2, hello 
-6, -45, -20, -21, -2, -1, -2, -4, 6, 7, 2, hello 
1, 2, 5, 13, -5, -4, -1, -2, 6, 7, 2, hello 
-3, -15, 12, -4, 6, 0, -2, -2, 6, 7, 2, hello 
3, 13, 12, -8, -6, 0, 1, 0, 6, 7, 2, hello 
0, 38, -12, 16, 7, 1, 1, 0, 6, 7, 2, hello 
-1, -18, 37, 5, -2, -2, -5, -3, 6, 7, 2, hello 
-2, -7, -6, -18, 0, -1, -2, -2, 6, 7, 2, hello 
-8, -60, -12, -15, -5, -3, -4, -5, 6, 7, 2, hello 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, SPACE
